Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.2,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,33.41,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,30.17,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,1,N,33.97,61.94
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.65,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
2022-01-01,2,N,25.22,31.52
