date,dart_tb2
1/1/2022,264.44
1/2/2022,90.08
1/3/2022,161.3
1/4/2022,93.88
1/5/2022,49.1
1/6/2022,210.52
1/7/2022,1071.44
1/8/2022,722.3
1/9/2022,68.2
1/10/2022,215.3
1/11/2022,153.94
1/12/2022,64.82
1/13/2022,377.84
1/14/2022,69.16
1/15/2022,140.56
1/16/2022,51.1
1/17/2022,145.3
1/18/2022,171.22
1/19/2022,118.8
1/20/2022,128.76
1/21/2022,124.34
1/22/2022,62.58
1/23/2022,33.66
1/24/2022,149.68
1/25/2022,144
1/26/2022,1106.84
1/27/2022,105.44
1/28/2022,241.6
1/29/2022,706.22
1/30/2022,170.64
1/31/2022,902.02
