date,tb2_revenue
1/1/2022 0:00,7.6
1/1/2022 0:15,7.14
1/1/2022 0:30,6.08
1/1/2022 0:45,5.32
1/1/2022 1:00,9.22
1/1/2022 1:15,11.92
1/1/2022 1:30,23.62
1/1/2022 1:45,27.4
1/1/2022 2:00,33.5
1/1/2022 2:15,41.26
1/1/2022 2:30,48.66
1/1/2022 2:45,53.94
1/1/2022 3:00,57.16
1/1/2022 3:15,59.98
1/1/2022 3:30,60.46
1/1/2022 3:45,57.14
1/1/2022 4:00,42.78
1/1/2022 4:15,26.78
1/1/2022 4:30,17.66
1/1/2022 4:45,20.3
1/1/2022 5:00,22.6
1/1/2022 5:15,27.76
1/1/2022 5:30,19.68
1/1/2022 5:45,18.74
1/2/2022 0:00,7.28
1/2/2022 0:15,6.52
1/2/2022 0:30,4.46
1/2/2022 0:45,4.6
1/2/2022 1:00,6.6
1/2/2022 1:15,7.04
1/2/2022 1:30,9.94
1/2/2022 1:45,14.72
1/2/2022 2:00,21.06
1/2/2022 2:15,13.88
1/2/2022 2:30,12.14
1/2/2022 2:45,12.68
1/2/2022 3:00,9.1
1/2/2022 3:15,7.14
1/2/2022 3:30,6.1
1/2/2022 3:45,5.76
1/2/2022 4:00,7.44
1/2/2022 4:15,19.7
1/2/2022 4:30,18.04
1/2/2022 4:45,6.44
1/2/2022 5:00,2.84
1/2/2022 5:15,1.34
1/2/2022 5:30,0.84
1/2/2022 5:45,0.28
1/3/2022 0:00,0.56
1/3/2022 0:15,0.36
1/3/2022 0:30,0.34
1/3/2022 0:45,0.26
1/3/2022 1:00,1.32
1/3/2022 1:15,4.84
1/3/2022 1:30,10.36
1/3/2022 1:45,4.18
1/3/2022 2:00,2.12
1/3/2022 2:15,8.34
1/3/2022 2:30,5.8
1/3/2022 2:45,6.66
1/3/2022 3:00,4.18
1/3/2022 3:15,5.5
1/3/2022 3:30,6.92
1/3/2022 3:45,6.48
1/3/2022 4:00,5.14
1/3/2022 4:15,1.6
1/3/2022 4:30,7.16
1/3/2022 4:45,8.56
1/3/2022 5:00,24.1
1/3/2022 5:15,33.48
1/3/2022 5:30,28.3
1/3/2022 5:45,24.72
